no,hvdc_code,mr#,commercial_invoice_no.,invoice_date,po_no.,vendor,category,main_description_(po),sub_description,incoterms,currency,invoice_value__(a),freight__(b),insurance__(c),cif_value__(a+b+c),coe,pol,pod,b/l_no./__awb_no.,vessel_name/__flight_no.,vessel_imo_no.,shipping_line,forwarder,ship__mode,pkg,20dc,40dc,40hq,45hq,20ot(in),20ot(oh),40ot(in),40ot(oh),20fr(in),40fr(in),20fr(fv),40fr(ow),"20fr(ow,oh)","40fr(ow,oh)","40fr(ow,ol)",lcl,qty_of_cntr,g_bulk,o_bulk,h_bulk,gwt__(kg),cbm,r/t__(grand-_total),a_cwt(kg),etd,atd,eta,ata,attestation__date,do_collection,customs__start,customs__close,custom__code,duty_amt__(aed),vat_amt__(aed),shu,mir,das,agi,dsv__indoor,dsv__outdoor,dsv__mzd,jdn__mzd,jdn__waterfront,mosb,aaa_storage,zener_(wh),hauler_dg_storage,vijay_tanks,delivery_date
16,HVDC-ADOPT-HE-0007,E01,PRL-DAS-002-O Lot 3,2023-12-05 00:00:00,4572116646,Hitachi,Elec,Main Converter,Layers,CIF,SEK,62385330.0,305217.23,6238533.0,68929080.23,BELGIUM,Antwerp,Khalifa port,GOT36800031,MSC AMBRA,,MSC,Scan Global Logistics AB,C,30,,,10.0,,,,,,,,,,,,,,10.0,,,,150000.0,438.83,438.83,,2023-12-19,2023-12-19,2024-01-25,2024-01-20,2024-01-08,2024-01-19,2024-01-21,45313.0,47150.0,0.0,1208282.0,,,2025-06-11 00:00:00,,2024-02-02,,,,,,,,,,2024-02-02
17,HVDC-ADOPT-HE-0008,E01,PRL-DAS-002-O1 Lot 4,2023-12-05 00:00:00,4572116646,Hitachi,Elec,Main Converter,Layers,CIF,SEK,31192665.0,152608.62,3119266.5,34464540.12,SWEDEN,Gothenburg,Khalifa port,GOT36800019,MSC AMBRA,,MSC,Scan Global Logistics AB,C,15,,,8.0,,,,,,,,,,,,,,8.0,,,,75000.0,219.41,219.41,,2023-12-14,2023-12-14,2024-01-25,2024-01-21,2024-01-08,2024-01-19,2024-01-21,45313.0,47150.0,0.0,4587966.0,,,2025-06-11 00:00:00,,2024-01-30,,,,,,,,,,2024-01-30
18,HVDC-ADOPT-HE-0009,E01,PRL-DAS-002-O2 Lot 4,2023-12-10 00:00:00,4572116646,Hitachi,Elec,Main Converter,Layers,CIF,SEK,49908264.0,244173.79,4990826.4,55143264.19,SWEDEN,Gothenburg,Khalifa port,GOT36800019,MSC AMBRA,,MSC,Scan Global Logistics AB,C,24,,,8.0,,,,,,,,,,,,,,8.0,,,,120000.0,351.06,351.06,,2023-12-14,2023-12-14,2024-01-25,2024-01-21,2024-01-08,2024-01-19,2024-01-21,45313.0,47150.0,,,,,2025-06-11 00:00:00,,2024-02-03,,,,,,,,,,2024-02-03
19,HVDC-ADOPT-HE-0010,E01,PRL-DAS-002-O3 Lot 4,2023-12-10 00:00:00,4572116646,Hitachi,Elec,Main Converter,Layers,CIF,SEK,56146797.0,274695.51,5414679.7,61836172.21,SWEDEN,Gothenburg,Khalifa port,GOT36800019,MSC AMBRA,,MSC,Scan Global Logistics AB,C,27,,,8.0,,,,,,,,,,,,,,8.0,,,,135000.0,394.94,394.94,,2023-12-14,2023-12-14,2024-01-25,2024-01-21,2024-01-08,2024-01-19,2024-01-21,45313.0,47150.0,,,,,,,2024-02-05,,,,,,,,,,2024-02-05
20,HVDC-ADOPT-HE-0011,E01,PRL-DAS-002-O4 Lot 4,2023-12-10 00:00:00,4572116646,Hitachi,Elec,Main Converter,Layers,CIF,SEK,49908264.0,244173.79,4990826.4,55143264.19,SWEDEN,Gothenburg,Khalifa port,GOT36800019,MSC AMBRA,,MSC,Scan Global Logistics AB,C,24,,,8.0,,,,,,,,,,,,,,8.0,,,,120000.0,351.1,351.1,,2023-12-14,2023-12-14,2024-01-25,2024-01-21,2024-01-08,2024-01-19,2024-01-21,45313.0,47150.0,,,,,,,2024-02-07,,,,,,,,,,2024-02-07
21,HVDC-ADOPT-HE-0020,E01,PRL-DAS-002-O5 Lot 4,2023-12-10 00:00:00,4572116646,Hitachi,Elec,Main Converter,Layers,CIF,SEK,49908264.0,244173.79,4990826.4,55143264.19,SWEDEN,Gothenburg,Khalifa port,GOT36800019,MSC AMBRA,,MSC,Scan Global Logistics AB,C,24,,,6.0,,,,,,,,,,,,,,6.0,,,,120000.0,351.06,351.06,,2023-12-14,2023-12-14,2024-01-25,2024-01-21,2024-01-08,2024-01-19,2024-01-21,45313.0,47150.0,,,,,2025-07-08 00:00:00,,,2024-02-08,,,,,,,,,2024-02-08
22,HVDC-ADOPT-HE-0012,E01,PRL-DAS-001-O Lot 1,2023-12-08 00:00:00,4572116646,Hitachi,Elec,Main Converter,Smoothing reactor,CIF,EUR,258461.4,15925.43,25846.14,300232.97,BELGIUM,Antwerp,Khalifa port,GOT36800013-001,EVELYN MAERSK,,MAERSK,Scan Global Logistics AB,C,2,,,,,,,,,,1.0,,,,,,,1.0,,,,11600.0,41.2,41.2,,2023-12-10,2023-12-10,2024-01-13,2024-01-13,2024-01-08,2024-01-10,2024-01-17,45309.0,47150.0,0.0,479030.0,,,2025-05-31 00:00:00,,,2024-01-23,,,,2025-05-26,,,,,2024-01-23
23,HVDC-ADOPT-HE-0013,E01,PRL-DAS-001-O Lot 1 Spare,2023-12-08 00:00:00,4572116646,Hitachi,Elec,Main Converter,Smoothing reactor,CIF,EUR,129230.7,7962.72,12923.07,150116.49,BELGIUM,Antwerp,Khalifa port,GOT36800013-002,EVELYN MAERSK,,MAERSK,Scan Global Logistics AB,C,1,,,,,,,,,,,,,,,,,0.0,,,,5800.0,20.6,20.6,,2023-12-10,2023-12-10,2024-01-13,2024-01-13,2024-01-08,2024-01-10,2024-01-17,45309.0,47150.0,,,,,2025-05-31 00:00:00,,,2024-01-23,,,,2025-05-26,,,,,2024-01-23
24,HVDC-ADOPT-HE-0014,E01,PRL-MIR-001-O Lot 1,2023-12-08 00:00:00,4572116646,Hitachi,Elec,Main Converter,Smoothing reactor,CIF,EUR,516922.8,31850.86,51692.28,600465.94,BELGIUM,Antwerp,Khalifa port,GOT36800015-001,EVELYN MAERSK,,MAERSK,Scan Global Logistics AB,C,4,,,,,,,,,1.0,1.0,,,,,,,2.0,,,,28800.0,118.09,118.09,,2023-12-10,2023-12-10,2024-01-13,2024-01-13,2024-01-04,2024-01-10,2024-01-17,45309.0,47150.0,,,,2024-01-26,,,,,,,,,,,,,2024-01-26
25,HVDC-ADOPT-HE-0015,E01,PRL-MIR-001-O Lot 1 Spare,2023-12-08 00:00:00,4572116646,Hitachi,Elec,Main Converter,Smoothing reactor,CIF,EUR,129230.7,7962.72,12923.07,150116.49,BELGIUM,Antwerp,Khalifa port,GOT36800015-002,EVELYN MAERSK,,MAERSK,Scan Global Logistics AB,C,1,,,,,,,,,,,,,,,,,0.0,,,,7200.0,29.52,29.52,,2023-12-10,2023-12-10,2024-01-13,2024-01-13,2024-01-08,2024-01-10,2024-01-17,45309.0,47150.0,,,,2024-01-26,,,,,,,,,,,,,2024-01-26
26,HVDC-ADOPT-HE-0016,E01,PRL-SHU-001-O Lot 1,2023-12-08 00:00:00,4572116646,Hitachi,Elec,Main Converter,Smoothing reactor,CIF,EUR,258461.4,15925.43,25846.14,300232.97,BELGIUM,Antwerp,Khalifa port,GOT36800014-001,EVELYN MAERSK,,MAERSK,Scan Global Logistics AB,C,2,,,,,,,,,,1.0,,,,,,,1.0,,,,11600.0,41.2,41.2,,2023-12-10,2023-12-10,2024-01-13,2024-01-13,2024-01-08,2024-01-10,2024-01-17,45309.0,47150.0,,,2024-01-24,,,,,,,,,,,,,,2024-01-24
27,HVDC-ADOPT-HE-0017,E01,PRL-SHU-001-O Lot 1 Spare,2023-12-08 00:00:00,4572116646,Hitachi,Elec,Main Converter,Smoothing reactor,CIF,EUR,129230.7,7962.72,12923.07,150116.49,BELGIUM,Antwerp,Khalifa port,GOT36800014-002,EVELYN MAERSK,,MAERSK,Scan Global Logistics AB,C,1,,,,,,,,,,,,,,,,,0.0,,,,5800.0,20.6,20.6,,2023-12-10,2023-12-10,2024-01-13,2024-01-13,2024-01-08,2024-01-10,2024-01-17,45309.0,47150.0,,,2024-01-24,,,,,,,,,,,,,,2024-01-24
28,HVDC-ADOPT-HE-0018,E01,PRL-ZAK-001-O Lot 1,2003-12-08 00:00:00,4572116646,Hitachi,Elec,Main Converter,Smoothing reactor,CIF,EUR,516922.8,31850.86,51692.28,600465.94,BELGIUM,Antwerp,Khalifa port,GOT36800016-001,EVELYN MAERSK,,MAERSK,Scan Global Logistics AB,C,4,,,,,,,,,1.0,1.0,,,,,,,2.0,,,,28800.0,118.09,118.09,,2023-12-10,2023-12-10,2024-01-13,2024-01-13,2024-01-08,2024-01-10,2024-01-17,45309.0,47150.0,,,,,,,,2024-01-24,,,,,,,,,2024-01-24
29,HVDC-ADOPT-HE-0019,E01,PRL-ZAK-001-O Lot 1 Spare,2023-12-08 00:00:00,4572116646,Hitachi,Elec,Main Converter,Smoothing reactor,CIF,EUR,129230.7,7962.72,12923.07,150116.49,BELGIUM,Antwerp,Khalifa port,GOT36800016-002,EVELYN MAERSK,,MAERSK,Scan Global Logistics AB,C,1,,,,,,,,,,,,,,,,,0.0,,,,7200.0,29.5,29.5,,2023-12-10,2023-12-10,2024-01-13,2024-01-13,2024-01-08,2024-01-10,2024-01-17,45309.0,47150.0,,,,,,,,2024-01-24,,,,,,,,,2024-01-24
30,HVDC-ADOPT-HE-0021,E01,PRL-SHU-003-O1 Lot 1,2023-12-19 00:00:00,4572116646,Hitachi,Elec,Main Converter,Converter Reactors,CIF,EUR,659873.0,59043.98,65987.3,784904.28,BELGIUM,Antwerp,Khalifa port,GOT36800021-001,MSC AMBRA,,MSC,Scan Global Logistics AB,C,4,,,,,,,,,,1.0,,,,,,,1.0,,,,25300.0,139.38,139.38,,2023-12-19,2023-12-19,2024-01-21,2024-01-21,2024-01-23,2024-01-23,2024-01-23,45314.0,47150.0,0.0,156934.0,2024-01-26,,,,,,,,,,,,,,2024-01-26
31,HVDC-ADOPT-HE-0022,E01,PRL-DAS-003 O1 Lot 1,2023-11-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,Converter Reactors,CIF,EUR,329937.0,37577.41,32993.7,400508.11,BELGIUM,Antwerp,Khalifa port,GOT36800021-002,MSC AMBRA,,MSC,Scan Global Logistics AB,C,2,,,,,,,,,,1.0,,,,,,,1.0,,,,17800.0,105.1,105.1,,2023-12-19,2023-12-19,2024-01-21,2024-01-21,2024-01-22,2024-01-23,2024-01-23,45314.0,47150.0,0.0,80078.0,,,2025-05-28 00:00:00,,,2024-01-26,,,,,,,,,2024-01-26
32,HVDC-ADOPT-HE-0023,E01,PRL-DAS-003-O2 Lot 1,2024-01-16 00:00:00,4572116646,Hitachi,Elec,Main Converter,Converter Reactors,CIF,EUR,329936.58,37577.41,32993.65,400507.64,BELGIUM,Antwerp,Khalifa port,GOT36800028,MSC TESSA,,MSC,Scan Global Logistics AB,C,2,,,,,,,,,,1.0,,,,,,,1.0,,,,17800.0,105.2,105.2,,2024-01-16,2024-01-16,2024-02-18,2024-02-18,2024-02-13,2024-02-19,2024-02-19,45341.0,47150.0,0.0,197974.0,,,2024-09-02 00:00:00,,,,,,,2024-02-24,,,,,2024-02-24
33,HVDC-ADOPT-HE-0024,E01,PRL-SHU-003-O2 Lot 1,2024-01-16 00:00:00,4572116646,Hitachi,Elec,Main Converter,Converter Reactors,CIF,EUR,329936.58,29521.99,32993.65,392452.22,BELGIUM,Antwerp,Khalifa port,GOT36800051,MSC TESSA,,MSC,Scan Global Logistics AB,C,2,,,,,,,,,,1.0,,,,,,,1.0,,,,12650.0,69.6,69.6,,2024-01-16,2024-01-16,2024-02-18,2024-02-18,2024-02-12,2024-02-19,2024-02-20,45342.0,47150.0,0.0,77597.0,2024-02-27,,,,,,,,,,,,,,2024-02-27
34,HVDC-ADOPT-HE-0025,E01,PRL-MIR-003-O1 Lot 1,2024-01-16 00:00:00,4572116646,Hitachi,Elec,Main Converter,Converter Reactors,CIF,EUR,329936.58,41081.4,32993.65,404011.63,BELGIUM,Antwerp,Khalifa port,GOT36800052,MSC TESSA,,MSC,Scan Global Logistics AB,C,2,,,,,,,,,,1.0,,,,,,,1.0,,,,17700.0,90.6,90.6,,2024-01-16,2024-01-16,2024-02-18,2024-02-18,2024-02-12,2024-02-19,2024-02-20,45342.0,47150.0,0.0,79882.0,,2024-02-27,,,,,,,,,,,,,2024-02-27
35,HVDC-ADOPT-HE-0026,E01,PRL-DAS-003-O3 Lot 1,2024-01-16 00:00:00,4572116646,Hitachi,Elec,Main Converter,Converter Reactors,CIF,EUR,494904.87,56366.12,49490.48,600761.47,BELGIUM,Antwerp,Khalifa port,GOT36800028,MSC TESSA,,MSC,Scan Global Logistics AB,C,3,,,,,,,,,,1.0,,,,,,,1.0,,,,26700.0,157.8,157.8,,2024-01-16,2024-01-16,2024-02-18,2024-02-18,2024-02-13,2024-02-19,2024-02-19,45341.0,47150.0,0.0,,,,2024-09-02 00:00:00,,,,,,,2024-02-24,,,,,2024-02-24
36,HVDC-ADOPT-HE-0027,E01,PRL-DAS-002-O Lot 8,2023-11-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Serpentine, Side Shields, Bottom Shields (part of valve)",CIF,SEK,23428386.0,2134616.14,2342828.6,27905830.74,SWEDEN,Gothenburg,Khalifa port,GOT36800025,MSC TESSA,,MSC,Scan Global Logistics AB,C,54,,,15.0,,,,,,,,,,,,,,15.0,,,,37659.0,390.4,390.4,,2024-01-03,2024-01-03,2024-02-29,2024-02-29,2024-01-19,2024-03-01,2024-03-01,45352.0,47150.0,0.0,496244.0,,,2025-06-07 00:00:00,,2024-03-08,2024-03-08,,,,2025-05-26,,,,,2024-03-08
37,HVDC-ADOPT-HE-0062,E01,PRL-DAS-004-A,2024-01-23 00:00:00,4572116646,Hitachi,Elec,Main Converter,Optical Current Transducer EQ078,CIF,SEK,5019031.2,106288.75,501903.12,5627223.07,DENMARK,Copenhagen,Abu Dhabi Airport,1130103348,Etihad Airways,,,Scan Global Logistics AB,A,12,,,,,,,,,,,,,,,,,,12.0,,,2875.0,16.523,16.523,2875.0,2024-01-23,2024-01-26,2024-01-28,2024-01-28,2024-02-01,2024-01-29,2024-01-30,45321.0,47150.0,98571.0,103499.0,,,2025-05-29 00:00:00,,2024-02-01,2024-02-01,,,,2025-05-20,,,,,2024-02-01
38,HVDC-ADOPT-HE-0063,E01,PRL-DAS-004-A2,2024-01-23 00:00:00,4572116646,Hitachi,Elec,Main Converter,Optical Current Transducer EQ078,CIF,SEK,418252.6,22366.85,41825.26,482444.71,NETHERLANDS,Amsterdam,Abu Dhabi Airport,1130103354,Etihad Airways,,,Scan Global Logistics AB,A,1,,,,,,,,,,,,,,,,,,1.0,,,605.0,7.021,7.021,1170.5,2024-01-29,2024-01-29,2024-01-30,2024-01-30,2024-01-27,2024-02-01,2024-02-01,45323.0,47150.0,8557.0,8985.0,,,,,2024-02-02,,,,,,,,,,2024-02-02
39,HVDC-ADOPT-HE-0064,E01,PRL-MIR-004-A,2024-01-23 00:00:00,4572116646,Hitachi,Elec,Main Converter,Optical Current Transducer EQ078,CIF,SEK,5859358.4,122740.4,585935.84,6568034.64,DENMARK,Copenhagen,Abu Dhabi Airport,1130103349,Etihad Airways,,,Scan Global Logistics AB,A,14,,,,,,,,,,,,,,,,,,14.0,,,3320.0,19.19,19.19,3320.0,2024-01-23,2024-01-28,2024-01-29,2024-01-29,2024-01-27,2024-01-30,2024-01-30,45321.0,47150.0,114977.0,120725.0,,2025-08-08,,,2024-02-01,,,,,,,,,,2024-02-01
40,HVDC-ADOPT-HE-0065,E01,PRL-MIR-004-A2,2024-01-23 00:00:00,4572116646,Hitachi,Elec,Main Converter,Optical Current Transducer EQ078,CIF,SEK,418525.6,24030.5,41852.56,484408.66,NETHERLANDS,Amsterdam,Abu Dhabi Airport,1130103355,Etihad Airways,,,Scan Global Logistics AB,A,1,,,,,,,,,,,,,,,,,,1.0,,,650.0,7.021,7.021,1170.5,2024-01-29,2024-01-29,2024-01-30,2024-01-30,2024-01-30,2024-02-01,2024-02-01,45323.0,47150.0,8592.0,9021.0,,2025-08-08,,,2024-02-02,,,,,,,,,,2024-02-02
41,HVDC-ADOPT-HE-0066,E01,PRL-SHU-004-A2,2024-01-23 00:00:00,4572116646,Hitachi,Elec,Main Converter,Optical Current Transducer EQ078,CIF,SEK,5022307.2,106288.75,502230.72,5630826.67,DENMARK,Copenhagen,Abu Dhabi Airport,1130103353,Etihad Airways,,,Scan Global Logistics AB,A,12,,,,,,,,,,,,,,,,,,12.0,,,2875.0,16.523,16.523,2875.0,2024-01-23,2024-01-28,2024-01-29,2024-01-29,2024-01-30,2024-01-30,2024-01-30,45321.0,47150.0,98571.0,103499.0,2024-02-01,,,,2024-02-01,,,,,,,,,,2024-02-01
